Word	Count	Emotions
indignation	41	anger, disgust, negative
shemaiah	41	
resurrection	41	
eastward	40	
serpent	40	disgust, fear, negative
grieved	40	
exceedingly	40	
salt	40	
counted	40	
spare	40	
merciful	40	positive
restore	40	
toucheth	40	
issue	40	
beaten	40	
heavy	40	
adultery	40	disgust, negative, sadness
polluted	40	
candlestick	40	
sayest	40	
uncleanness	40	
heal	40	joy, positive, trust
chronicles	40	
amaziah	40	
zechariah	40	
air	39	
planted	39	
instead	39	
dried	39	
strife	39	anger, negative
seir	39	
bowels	39	disgust
whereby	39	
circumcised	39	
quickly	39	
measures	39	
tender	39	joy, positive, trust
bury	39	sadness
least	39	
midian	39	
ephah	39	
doing	39	
brook	39	
bethlehem	39	
merari	39	
strengthened	39	
ships	39	
bondage	39	fear, negative, sadness
thick	39	
blow	39	
please	39	
pay	39	anticipation, joy, positive, trust
eighth	39	
corners	39	
net	39	
compass	39	trust
molten	39	
cleansed	39	
defile	39	
rising	39	anticipation, joy, positive
leprosy	39	disgust, fear, negative, sadness
possessed	39	anger, disgust, fear, negative
hearing	39	fear, negative
porch	39	
gideon	39	
plead	39	
samson	39	
shake	39	
salute	39	joy, positive
supplication	39	positive, trust
lawful	39	positive, trust
manifest	39	
grow	38	anticipation, joy, positive, trust
mark	38	
olive	38	
scatter	38	
grievous	38	anger, fear, negative, sadness
pursued	38	
oh	38	
shoulder	38	positive, trust
vail	38	
bitter	38	
wouldest	38	
empty	38	
heap	38	
shepherds	38	
visit	38	positive
hail	38	negative, positive, trust
steps	38	
continue	38	anticipation, positive, trust
innocent	38	positive, trust
bars	38	
girdle	38	
passeth	38	
writing	38	
appearance	38	
heshbon	38	
fenced	38	anger
needy	38	negative
oppressed	38	
revealed	38	
confidence	38	fear, joy, positive, trust
forest	38	
singers	38	
prevailed	37	
remaineth	37	
maid	37	
waxed	37	
digged	37	
caught	37	
dew	37	
folly	37	negative
grapes	37	
understood	37	
treasure	37	anticipation, joy, positive, trust
